Activation,Optimizer,Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Time (s)
LeakyReLU,SGD,3,0.6134635997953869,0.6433468761444092,0.7706190476190476,0.75775,33.41617162227631
LeakyReLU,SGD,4,0.5498615802980604,0.5307069125175476,0.7936666666666666,0.806,33.41617162227631
LeakyReLU,SGD,5,0.5123745301564534,0.6052000460624695,0.8091428571428572,0.76175,33.41617162227631
LeakyReLU,SGD,6,0.46619410703295755,0.5074658620357514,0.8285238095238096,0.806,33.41617162227631
LeakyReLU,SGD,7,0.4540008559113457,0.5850379281044006,0.8341904761904761,0.782,33.41617162227631
LeakyReLU,SGD,8,0.43963375500270296,0.49474019050598145,0.8398095238095238,0.8135,33.41617162227631
LeakyReLU,SGD,9,0.4285945296060471,0.5337742118835449,0.8421904761904762,0.7905,33.41617162227631
LeakyReLU,SGD,10,0.41973445186160857,0.4817349741458893,0.8472380952380952,0.8205,33.41617162227631
LeakyReLU,Momentum,1,0.7669990252568608,0.5805969839096069,0.7221428571428572,0.79,33.75194275379181
LeakyReLU,Momentum,2,0.42889882750738234,0.4040339629650116,0.8436190476190476,0.84825,33.75194275379181
LeakyReLU,Momentum,3,0.3581966232203302,0.3616112942695618,0.8690952380952381,0.86525,33.75194275379181
LeakyReLU,Momentum,4,0.32006156511888617,0.34750538277626036,0.8826190476190476,0.87475,33.75194275379181
LeakyReLU,Momentum,5,0.2899344270619608,0.3261916732788086,0.8951904761904762,0.88225,33.75194275379181
LeakyReLU,Momentum,6,0.25298127957752775,0.3346189453601837,0.9059047619047619,0.8745,33.75194275379181
LeakyReLU,Momentum,7,0.24137558530625844,0.2823284573554993,0.9121904761904762,0.896,33.75194275379181
LeakyReLU,Momentum,8,0.2288664554442678,0.31705889451503755,0.9164285714285715,0.88075,33.75194275379181
LeakyReLU,Momentum,9,0.21582378682068415,0.2666171492338181,0.9208571428571428,0.90225,33.75194275379181
LeakyReLU,Momentum,10,0.2080237357162294,0.27041245019435883,0.9237619047619048,0.89925,33.75194275379181
LeakyReLU,Adam,1,0.5714417015030271,0.444263290643692,0.7939047619047619,0.84275,34.61665480136871
LeakyReLU,Adam,2,0.35253128510429743,0.3353230277299881,0.8731904761904762,0.8795,34.61665480136871
LeakyReLU,Adam,3,0.29754646796271916,0.31767422032356263,0.8889523809523809,0.8785,34.61665480136871
LeakyReLU,Adam,4,0.2585520949590774,0.3213269431591034,0.9042857142857142,0.87875,34.61665480136871
LeakyReLU,Adam,5,0.224354667141324,0.26466561830043794,0.9176190476190477,0.9025,34.61665480136871
LeakyReLU,Adam,6,0.199237735470136,0.2616819808483124,0.9262380952380952,0.906,34.61665480136871
LeakyReLU,Adam,7,0.1712569643642221,0.2662325874567032,0.9361904761904762,0.90275,34.61665480136871
LeakyReLU,Adam,8,0.14907841059849375,0.31151522040367124,0.9456190476190476,0.8975,34.61665480136871
LeakyReLU,Adam,9,0.1296641257376898,0.2726062875390053,0.9514285714285714,0.90875,34.61665480136871
LeakyReLU,Adam,10,0.11104821676299685,0.28475265884399414,0.9600952380952381,0.90775,34.61665480136871
