Activation,Optimizer,Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Time (s)
ReLU,SGD,1,1.428634064356486,1.129823748588562,0.5715714285714286,0.575,31.18134651184082
ReLU,SGD,2,0.669822885740371,0.8115163621902466,0.7482380952380953,0.69975,31.18134651184082
ReLU,SGD,3,0.5852383467810495,0.7383643255233765,0.7824285714285715,0.7325,31.18134651184082
ReLU,SGD,4,0.5321701808202834,1.0155079374313354,0.8016666666666666,0.6175,31.18134651184082
ReLU,SGD,5,0.4976399140130906,0.7644936800003052,0.8171904761904762,0.75275,31.18134651184082
ReLU,SGD,6,0.4499758557365054,0.5186603965759278,0.836047619047619,0.79925,31.18134651184082
ReLU,SGD,7,0.4346359235899789,0.707305205821991,0.841047619047619,0.75625,31.18134651184082
ReLU,SGD,8,0.42441372942356836,0.4382053229808807,0.8469523809523809,0.84225,31.18134651184082
ReLU,SGD,9,0.41333036867777506,0.4731582763195038,0.8516190476190476,0.8235,31.18134651184082
ReLU,SGD,10,0.40331489285968597,0.4935179069042206,0.8560952380952381,0.81225,31.18134651184082
ReLU,Momentum,1,0.7474051939845086,0.5084757785797119,0.7231904761904762,0.7995,32.621685767173766
ReLU,Momentum,2,0.411069425037929,0.39741584062576296,0.850047619047619,0.85375,32.621685767173766
ReLU,Momentum,3,0.3578644157477788,0.35374781107902525,0.8700952380952381,0.87275,32.621685767173766
ReLU,Momentum,4,0.3209794956729526,0.31202804696559905,0.8820476190476191,0.8845,32.621685767173766
ReLU,Momentum,5,0.293793137936365,0.3263881899118423,0.8931904761904762,0.88175,32.621685767173766
ReLU,Momentum,6,0.24825993411597752,0.29362267649173734,0.9092380952380953,0.89225,32.621685767173766
ReLU,Momentum,7,0.23431105326612792,0.28340954291820525,0.9139047619047619,0.90175,32.621685767173766
ReLU,Momentum,8,0.22412214222408477,0.2792361398935318,0.9185238095238095,0.8985,32.621685767173766
ReLU,Momentum,9,0.2121888824502627,0.2743448895215988,0.9244761904761905,0.9025,32.621685767173766
ReLU,Momentum,10,0.2048879085579621,0.28146411740779875,0.9242857142857143,0.8965,32.621685767173766
ReLU,Adam,1,0.5725744460423787,0.41945464110374453,0.792952380952381,0.8495,32.75734198093414
ReLU,Adam,2,0.3682110086906524,0.3312689244747162,0.8663809523809524,0.88,32.75734198093414
ReLU,Adam,3,0.30666023016259786,0.3088049986362457,0.8874285714285715,0.88275,32.75734198093414
ReLU,Adam,4,0.262791051478613,0.28743051970005035,0.9030476190476191,0.895,32.75734198093414
ReLU,Adam,5,0.23600360507056828,0.268194671869278,0.9133333333333333,0.9015,32.75734198093414
ReLU,Adam,6,0.21082546757516407,0.27460565280914306,0.921952380952381,0.89975,32.75734198093414
